response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
12.6483,0.0000,0.0000,0.0000,0.0262,12.6221,200,38.9774
12.6040,0.0000,0.0000,0.0000,0.0243,12.5796,200,39.1458
12.8055,0.0000,0.0000,0.0000,0.0249,12.7806,200,38.9904
12.6224,0.0000,0.0000,0.0000,0.0250,12.5974,200,39.1970
12.4822,0.0000,0.0000,0.0000,0.0251,12.4571,200,39.3554
12.6657,0.0000,0.0000,0.0000,0.0246,12.6410,200,39.1747
12.8805,0.0000,0.0000,0.0000,0.0237,12.8567,200,38.9682
12.7074,0.0000,0.0000,0.0000,0.0267,12.6807,200,39.2850
12.8068,0.0000,0.0000,0.0000,0.0268,12.7800,200,39.2002
12.9229,0.0000,0.0000,0.0000,0.0244,12.8984,200,39.1034
12.6191,0.0000,0.0000,0.0000,0.0295,12.5896,200,39.4099
12.8470,0.0000,0.0000,0.0000,0.0267,12.8202,200,39.2004
13.0043,0.0000,0.0000,0.0000,0.0280,12.9762,200,39.0473
12.8991,0.0000,0.0000,0.0000,0.0260,12.8731,200,39.1562
13.0631,0.0000,0.0000,0.0001,0.0261,13.0368,200,39.0073
12.7942,0.0000,0.0000,0.0000,0.0244,12.7697,200,39.2844
12.4944,0.0000,0.0000,0.0000,0.0245,12.4699,200,39.5845
12.8634,0.0000,0.0000,0.0000,0.0247,12.8386,200,39.2592
12.7222,0.0000,0.0000,0.0000,0.0272,12.6949,200,39.4097
12.6805,0.0000,0.0000,0.0000,0.0270,12.6534,200,39.4923
12.6989,0.0000,0.0000,0.0000,0.0250,12.6739,200,39.4773
12.9194,0.0000,0.0000,0.0000,0.0250,12.8944,200,39.2581
12.5731,0.0000,0.0000,0.0000,0.0260,12.5471,200,39.6203
12.7141,0.0000,0.0000,0.0000,0.0243,12.6897,200,39.4908
12.7166,0.0000,0.0000,0.0000,0.0251,12.6915,200,39.5053
12.6647,0.0000,0.0000,0.0000,0.0252,12.6395,200,39.5653
12.4988,0.0000,0.0000,0.0000,0.0231,12.4757,200,39.7312
12.4764,0.0000,0.0000,0.0000,0.0257,12.4507,200,39.7581
12.8677,0.0000,0.0000,0.0000,0.0234,12.8442,200,39.3746
12.7960,0.0000,0.0000,0.0000,0.0262,12.7698,200,39.4604
12.7148,0.0000,0.0000,0.0000,0.0257,12.6891,200,39.5462
12.7983,0.0000,0.0000,0.0000,0.0239,12.7744,200,39.4703
12.6545,0.0000,0.0000,0.0000,0.0233,12.6312,200,39.6351
12.7937,0.0000,0.0000,0.0000,0.0248,12.7688,200,39.5018
12.6266,0.0000,0.0000,0.0000,0.0255,12.6010,200,39.6736
12.6905,0.0000,0.0000,0.0000,0.0257,12.6648,200,39.6155
12.5970,0.0000,0.0000,0.0000,0.0278,12.5691,200,39.7104
12.5543,0.0000,0.0000,0.0000,0.0263,12.5280,200,39.7548
12.5492,0.0000,0.0000,0.0000,0.0271,12.5220,200,39.7635
12.5901,0.0000,0.0000,0.0000,0.0256,12.5645,200,39.7234
12.6165,0.0000,0.0000,0.0000,0.0258,12.5906,200,39.7005
12.5283,0.0000,0.0000,0.0000,0.0268,12.5015,200,39.7983
12.5448,0.0000,0.0000,0.0000,0.0245,12.5203,200,39.7850
12.5576,0.0000,0.0000,0.0000,0.0264,12.5311,200,39.7734
12.4017,0.0000,0.0000,0.0000,0.0299,12.3718,200,39.9377
12.4371,0.0000,0.0000,0.0000,0.0244,12.4126,200,39.9138
12.6196,0.0000,0.0000,0.0000,0.0239,12.5957,200,39.7322
12.5634,0.0000,0.0000,0.0000,0.0255,12.5379,200,39.7904
12.4090,0.0000,0.0000,0.0000,0.0278,12.3812,200,39.9473
