response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
8.0787,0.0000,0.0000,0.0000,0.0250,8.0537,200,25.7883
8.1754,0.0000,0.0000,0.0000,0.0237,8.1517,200,25.7357
7.9498,0.0000,0.0000,0.0000,0.0232,7.9265,200,26.0070
8.3377,0.0000,0.0000,0.0000,0.0256,8.3121,200,25.6433
7.8648,0.0000,0.0000,0.0000,0.0264,7.8383,200,32.7409
7.8350,0.0000,0.0000,0.0004,0.0238,7.8108,200,32.9790
7.9370,0.0000,0.0000,0.0000,0.0243,7.9126,200,32.9980
7.9328,0.0000,0.0000,0.0000,0.0254,7.9074,200,33.0350
7.8295,0.0000,0.0000,0.0000,0.0238,7.8057,200,33.1443
7.9362,0.0000,0.0000,0.0000,0.0226,7.9136,200,33.0729
7.9351,0.0000,0.0000,0.0000,0.0244,7.9106,200,33.1025
8.0710,0.0000,0.0000,0.0000,0.0229,8.0481,200,32.9827
7.9743,0.0000,0.0000,0.0000,0.0253,7.9489,200,33.0961
8.1414,0.0000,0.0000,0.0000,0.0237,8.1176,200,32.9794
8.0849,0.0000,0.0000,0.0000,0.0237,8.0612,200,33.0396
8.0461,0.0000,0.0000,0.0000,0.0225,8.0236,200,33.0867
8.2059,0.0000,0.0000,0.0000,0.0261,8.1798,200,33.1895
8.1737,0.0000,0.0000,0.0000,0.0227,8.1509,200,33.2448
8.2028,0.0000,0.0000,0.0000,0.0241,8.1787,200,33.2720
8.1413,0.0000,0.0000,0.0000,0.0246,8.1166,200,33.3596
8.2161,0.0000,0.0000,0.0000,0.0250,8.1910,200,33.2989
7.9040,0.0000,0.0000,0.0000,0.0269,7.8771,200,33.6272
8.1832,0.0000,0.0000,0.0000,0.0244,8.1588,200,33.3661
8.0390,0.0000,0.0000,0.0000,0.0270,8.0120,200,33.5144
8.2918,0.0000,0.0000,0.0000,0.0253,8.2665,200,33.2825
8.1704,0.0000,0.0000,0.0000,0.0247,8.1457,200,33.4555
8.3074,0.0000,0.0000,0.0000,0.0251,8.2823,200,33.4229
8.1318,0.0000,0.0000,0.0000,0.0248,8.1069,200,33.6033
8.3028,0.0000,0.0000,0.0000,0.0254,8.2773,200,33.5253
8.4178,0.0000,0.0000,0.0000,0.0238,8.3939,200,33.5130
8.0906,0.0000,0.0000,0.0000,0.0231,8.0675,200,33.8660
8.2607,0.0000,0.0000,0.0000,0.0265,8.2341,200,33.7760
8.2296,0.0000,0.0000,0.0000,0.0256,8.2039,200,33.8670
8.4416,0.0000,0.0000,0.0000,0.0231,8.4185,200,33.9111
8.3975,0.0000,0.0000,0.0000,0.0254,8.3720,200,33.9567
8.4454,0.0000,0.0000,0.0000,0.0249,8.4204,200,33.9810
8.0031,0.0000,0.0000,0.0000,0.0244,7.9787,200,40.6057
7.9279,0.0000,0.0000,0.0000,0.0241,7.9037,200,40.9738
8.0165,0.0000,0.0000,0.0000,0.0225,7.9938,200,40.9350
7.9984,0.0000,0.0000,0.0000,0.0234,7.9749,200,41.0375
8.2395,0.0000,0.0000,0.0000,0.0228,8.2166,200,40.8140
7.9392,0.0000,0.0000,0.0000,0.0263,7.9128,200,41.1208
8.1455,0.0000,0.0000,0.0000,0.0240,8.1215,200,40.9679
7.7337,0.0000,0.0000,0.0000,0.0248,7.7089,200,41.3955
7.6536,0.0000,0.0000,0.0000,0.0245,7.6290,200,41.5493
7.6521,0.0000,0.0000,0.0000,0.0256,7.6264,200,41.5534
8.0898,0.0000,0.0000,0.0000,0.0258,8.0639,200,41.1246
8.0831,0.0000,0.0000,0.0000,0.0238,8.0592,200,41.1328
8.2369,0.0000,0.0000,0.0000,0.0239,8.2129,200,41.0091
8.2012,0.0000,0.0000,0.0000,0.0239,8.1772,200,41.0538
8.1926,0.0000,0.0000,0.0000,0.0243,8.1683,200,41.0704
7.8713,0.0000,0.0000,0.0000,0.0255,7.8458,200,41.4185
7.8254,0.0000,0.0000,0.0000,0.0281,7.7973,200,41.5008
7.8512,0.0000,0.0000,0.0000,0.0239,7.8272,200,41.5150
7.8571,0.0000,0.0000,0.0000,0.0236,7.8335,200,41.5312
7.9607,0.0000,0.0000,0.0000,0.0257,7.9350,200,41.4748
7.8714,0.0000,0.0000,0.0000,0.0246,7.8467,200,41.5743
7.8359,0.0000,0.0000,0.0000,0.0275,7.8083,200,41.6259
7.5194,0.0000,0.0000,0.0000,0.0235,7.4958,200,41.9566
7.5568,0.0000,0.0000,0.0000,0.0243,7.5325,200,41.9308
7.7603,0.0000,0.0000,0.0000,0.0226,7.7377,200,41.7351
7.7657,0.0000,0.0000,0.0000,0.0252,7.7404,200,41.7303
7.6867,0.0000,0.0000,0.0000,0.0252,7.6615,200,41.8281
7.4906,0.0000,0.0000,0.0000,0.0248,7.4658,200,42.0367
7.4474,0.0000,0.0000,0.0000,0.0245,7.4229,200,42.0966
7.2181,0.0000,0.0000,0.0000,0.0237,7.1944,200,42.3542
7.2215,0.0000,0.0000,0.0000,0.0250,7.1964,200,42.3528
7.1487,0.0000,0.0000,0.0000,0.0258,7.1228,200,42.4264
